C3,CZ,C4
9.867451,15.8378,25.440237
9.789737,15.713066,25.239882
9.712269,15.588729,25.040161
9.635078,15.464837,24.841156
9.558158,15.341379,24.642849
9.481464,15.218282,24.445118
9.404922,15.095425,24.247772
9.328444,14.972672,24.050592
9.251963,14.84991,23.853395
9.175443,14.727089,23.656105
9.098908,14.604246,23.458782
9.022435,14.481503,23.261618
8.946129,14.359028,23.06489
8.870092,14.23699,22.868864
8.79439,14.115486,22.673698
8.719017,13.994513,22.47938
8.643899,13.873944,22.285713
8.568915,13.753589,22.092382
8.493935,13.633235,21.899054
8.418866,13.512743,21.705503
8.343699,13.392093,21.511698
8.268507,13.271402,21.317833
8.19342,13.1508875,21.124252
8.118591,13.030788,20.931341
8.044129,12.911277,20.739378
7.9700594,12.792395,20.54842
7.896312,12.674027,20.358288
7.8227453,12.555945,20.168612
7.749194,12.437888,19.978971
7.6755347,12.319655,19.789047
7.601729,12.201188,19.598751
7.527843,12.082596,19.408255
7.4540234,11.964112,19.217937
7.3804436,11.846019,19.028246
7.307239,11.728527,18.839527
7.234457,11.6117115,18.651892
7.162035,11.495472,18.465176
7.089824,11.379568,18.278997
7.017646,11.263713,18.092896
6.945356,11.147678,17.906502
6.8729014,11.03138,17.719687
6.800339,10.914912,17.532604
6.727817,10.7985115,17.34563
6.655515,10.682468,17.159237
6.583583,10.567018,16.973793
6.5120764,10.4522505,16.789448
6.440944,10.338081,16.60606
6.370042,10.2242775,16.423256
6.299188,10.11055,16.24057
6.228235,9.99666,16.057625
6.1571193,9.88251,15.874261
6.085889,9.76818,15.690611
6.0146832,9.653893,15.507031
5.9436793,9.539931,15.32398
5.873026,9.426535,15.141834
5.8027864,9.3138,14.960754
5.7329173,9.201658,14.780623
5.6632857,9.089894,14.601096
5.59372,8.978234,14.421733
5.5240746,8.866444,14.242159
5.454283,8.754421,14.062212
5.384385,8.642229,13.881996
5.3145065,8.53007,13.701836
5.2448106,8.418208,13.522157
5.1754394,8.306869,13.343316
5.1064577,8.196154,13.165479
5.037832,8.086007,12.988553
4.9694433,7.976239,12.812232
4.901136,7.866598,12.636112
4.832773,7.7568684,12.459849
4.764292,7.6469483,12.28328
4.6957207,7.5368857,12.106484
4.6271696,7.4268575,11.929747
4.558785,7.3170996,11.753447
4.490696,7.207817,11.57791
4.422965,7.099109,11.4032955
4.3555675,6.990934,11.229536
4.2884007,6.883127,11.056367
4.2213287,6.7754703,10.883434
4.154229,6.667768,10.710429
4.087042,6.559925,10.537197
4.019788,6.451977,10.363797
3.952559,6.344071,10.19047
3.8854825,6.2364125,10.01754
3.818672,6.1291814,9.845298
3.752185,6.0224686,9.673889
3.6860034,5.916246,9.503265
3.6200445,5.810377,9.333208
3.5541902,5.704675,9.163418
3.4883356,5.5989723,8.993623
3.4224267,5.4931817,8.8236885
3.3564765,5.3873267,8.653652
3.2905605,5.2815285,8.483708
3.224785,5.1759567,8.314131
3.1592464,5.0707664,8.145166
3.093996,4.966038,7.9769444
3.0290227,4.861754,7.809434
2.964259,4.757805,7.642461
2.8996096,4.654037,7.4757767
2.8349855,4.550309,7.3091564
2.7703388,4.4465456,7.1424785
2.705678,4.3427596,6.975766
2.6410615,4.2390475,6.8091726
2.5765758,4.1355453,6.6429195
2.5123003,4.032382,6.47721
2.4482791,3.9296262,6.312156
2.3845065,3.827269,6.1477413
2.3209307,3.7252266,5.98383
